,id,name,est_diameter_max,relative_velocity,miss_distance,absolute_magnitude,hazardous
44,3313974,(2006 BV39),0.0089958039,43375.451464819846,52246046.590503536,29.1,0
45,3379718,(2007 NL1),0.3420109247,42756.788656406876,33800803.95243366,21.2,0
46,3463175,(2009 LW2),0.6824015094,68820.16214665744,47445286.74358142,19.7,1
47,3572706,(2011 OB),0.8204270649,83171.21493910957,52715639.55427989,19.3,1
48,3731680,(2015 UK),0.0311917671,46103.06972435766,43133024.09114956,26.4,0
49,3740825,(2016 BN1),0.4426291165,51621.84742754972,54642689.318776526,20.64,0
50,3986682,(2020 AN3),0.4721064988,61734.11302636865,11649058.791713167,20.5,1
51,2085182,85182 (1991 AQ),2.2910785472,102984.84508053164,62629189.2353968,17.07,1
52,3395956,(2007 WM3),0.1425738833,58181.869415035966,38375567.951155216,23.1,0
53,3624232,(2013 AJ91),0.7482383761,144350.8847540647,55390770.281681016,19.5,0
54,3794971,(2017 YP1),0.0430566244,53272.90910034532,38740547.37136395,25.7,0
55,54158069,(2021 LW3),0.1432319745,56984.92154909372,46365366.154262185,23.09,0
56,3557536,(2011 CL50),0.0206081961,10911.21481963404,2976330.2987893336,27.3,0
57,3656918,(2014 BF3),0.3750075218,44955.07173369003,60788795.1104624,21.0,0
58,54057195,(2020 FG15),0.1241766613,15045.421597790086,46606232.140685454,23.4,0
59,54137509,(2021 GS12),0.0450858206,31302.767431963628,31247485.248493053,25.6,0
60,2503880,503880 (2000 YJ29),1.54184238,115149.2669717009,52471992.240220815,17.93,0
61,3172329,(2004 BK11),0.1968067451,8515.914924971774,50998700.95853348,22.4,0
62,3740044,(2016 AJ165),0.0494356193,61677.3463675178,53041992.1288918,25.4,0
63,3776011,(2017 MZ2),0.0450858206,45953.48336638814,43281444.979960956,25.6,0
64,54017304,(2020 KB7),0.0196806745,22453.579591757363,27680283.42660129,27.4,0
65,54091635,(2020 WR1),0.0765667087,50325.92632235812,46003075.435802124,24.45,0
66,2086450,86450 (2000 CK33),1.2417666126,56898.412897698196,53854237.21627698,18.4,0
67,2162854,162854 (2001 DE47),0.9463242708,41141.58131776685,52670116.32321632,18.99,0
68,2425755,425755 (2011 CP4),0.3420109247,112506.10786656485,41781749.13600629,21.2,1
69,3605793,(2012 MP),0.3750075218,25606.054329188784,59148738.979155734,21.0,0
70,3610526,(2012 TO139),0.6368541435,99296.03268692865,32803665.242110092,19.85,1
71,3625335,(2013 BC70),0.0899580388,45780.01245433743,13928868.286666552,24.1,0
72,3653190,(2013 US3),0.3251172245,34192.090505125176,50314610.48743035,21.31,1
73,3685814,(2014 RF11),0.1032856481,17790.05464811443,45050194.031193,23.8,0
74,3753287,(2016 JU28),0.0171411509,50105.22285885618,45236232.23263507,27.7,0
75,54248008,(2022 DG),0.0211855615,38839.281318476904,28885645.30833314,27.24,0
76,2026663,26663 (2000 XK47),1.3183780956,59226.45939050075,24837726.038458426,18.27,1
77,2138911,138911 (2001 AE2),0.8395372662,16602.1132704314,56164371.76876102,19.25,0
78,2153219,153219 (2000 YM29),1.1642331974,79709.479242185,37087291.41461637,18.54,0
79,2162117,162117 (1998 SD15),0.9419763057,66615.8508211716,53856237.08847447,19.0,0
80,2230111,230111 (2001 BE10),0.8995803882,45136.57604261821,45718415.96366726,19.1,1
81,3656413,(2014 BP),0.0567596853,41890.91357233728,35715124.38801035,25.1,0
82,3673866,(2014 MR5),0.0820427065,41563.43012845205,39214730.7381767,24.3,0
83,3699442,(2014 WP362),0.1361570015,59515.66069950716,44683196.03949018,23.2,0
84,54017323,(2020 KP7),0.2477650126,57922.90208740846,52534540.126933336,21.9,0
85,54101674,(2020 YL2),0.0597090249,74548.5185865814,31968943.82798269,24.99,0
86,54104542,(2021 AG1),0.0839537266,55418.841104827545,44081185.94970256,24.25,0
87,54264233,(2022 FY),0.015850391,45952.807965432956,42970919.18175411,27.87,0
88,2068031,68031 (2000 YK29),1.4061769631,27729.029416654543,54012914.25580621,18.13,0
89,2455199,455199 (2000 YK4),0.6516883822,48373.59133612633,53039633.67109859,19.8,0
90,3071939,(2001 BB16),0.1361570015,29403.964162820124,33073256.826605774,23.2,0
91,3102762,(2002 AA29),0.0899580388,30174.155509938835,28301760.513304483,24.1,0
92,3655734,(2014 AB),0.3750075218,48677.55664755995,48932743.88328285,21.0,0
93,3841199,(2019 GK20),0.0682401509,31807.103330741495,29920989.38216754,24.7,0
94,3125003,(2002 JE9),0.3119176705,46968.00168844758,45314591.306876615,21.4,1
95,3471976,(2009 TD17),0.0171411509,31950.940799941298,35162051.40037888,27.7,0
96,3768653,(2017 CW1),0.3119176705,47144.816962867,53221825.36498114,21.4,0
97,3790129,(2017 XD),1.9590250023,132621.70470106445,57727782.60438077,17.41,0
98,3799636,(2018 CV13),0.3467687706,33723.06620448264,54877334.843635716,21.17,0
99,3842613,(2019 KZ2),0.3119176705,58199.786848985204,49346088.59999691,21.4,0
100,54049789,(2020 OT4),0.0326617897,24531.680763873035,34382209.03444533,26.3,0
101,2612358,612358 (2002 JE9),0.3148038092,46968.00179775437,45314591.30551665,21.38,1
102,3072545,(2001 BD16),0.602615057,115505.89703948535,46703231.280983716,19.97,0
103,3398648,(2007 YM56),0.2041925905,40199.89362706292,42428737.016242445,22.32,0
104,3684344,(2014 QK362),0.2844722965,63495.18206382085,51356047.90758664,21.6,0
105,3743119,(2016 CW137),0.7482383761,82722.6191509304,44181157.566819616,19.5,1
106,3795036,(2017 YW3),0.0297879063,18443.800660864297,18830999.01812271,26.5,0
107,3797488,(2018 AX3),0.130028927,34526.676738485796,40033510.01385322,23.3,0
108,3893740,(2019 WK5),0.4305662442,43185.41858756713,49335701.62095515,20.7,0
109,54239541,(2022 BA),0.3162568776,69727.78049124635,47056160.29601618,21.37,1
110,2020790,20790 (2000 SE45),3.1480380919,20431.9006108626,40374852.1038863,16.38,0
111,2537829,537829 (2015 XY378),0.69189466,48074.60601417258,45042289.929638095,19.67,0
112,3068066,(2001 BA16),0.0375007522,27293.90318074871,27167197.462477908,26.0,0
113,3092288,(2001 BN61),0.0594346868,31621.788747005,3485924.166256893,25.0,0
114,3725977,(2015 PC228),0.7482383761,61490.34923027004,40785737.42513498,19.5,0
115,3746629,(2016 EN156),0.016369672,30831.416074684206,36225954.40299972,27.8,0
116,3801934,(2018 EJ4),0.3162568776,30642.87478646537,49620293.17094163,21.37,1
117,3802037,(2018 FA3),0.1636967205,35666.955104080545,38950030.28898242,22.8,0
118,3841713,(2019 JM1),0.0941976306,74416.27236093598,42592417.75483817,24.0,0
119,3985571,(2020 AV2),3.4676877062,33072.16149190339,61231223.41653729,16.17,0
120,3986701,(2020 BE),0.2477650126,92814.37544561597,40333441.04795398,21.9,0
121,2594913,594913 'Aylo'chaxnim (2020 AV2),3.4043952726,33072.146060090345,61231220.102369085,16.21,0
122,2526742,526742 (2006 WR127),0.5176544822,57452.88292835688,49145754.28825769,20.3,0
123,3554439,(2010 YO),0.0714562102,65552.89327937082,37127158.86923675,24.6,0
124,3588787,(2011 WK15),0.6824015094,45026.91595690065,40732776.3997391,19.7,0
125,3789119,(2017 VA2),0.130028927,29315.36669747925,37820945.9227183,23.3,0
126,54209481,(2021 TC15),0.2004656557,59509.84640869945,34468911.75661273,22.36,0
127,54244780,(2022 CC1),0.0223892723,47223.99953363239,40248876.45396688,27.12,0
128,3157021,(2003 ME1),0.1132504611,51782.28685036517,39727283.01688546,23.6,0
129,3516632,(2010 GR75),0.7145621017,77479.44006052527,52906429.60086754,19.6,0
130,3740496,(2016 AG193),0.1175005715,54575.59367667065,21778290.95340389,23.52,0
131,3751530,(2016 GF216),0.0622357573,21650.08247764614,34169888.15065386,24.9,0
132,3781006,(2017 QY16),0.6824015094,94544.94663158705,63106604.65039466,19.7,0
133,3830496,(2018 RP8),0.6607542706,61017.38892754652,45482438.67666113,19.77,0
134,54054459,(2020 RS9),0.0986370281,56053.31915638222,45605819.13061518,23.9,0
135,2469929,469929 (2006 AK8),0.3750075218,57192.55117723436,36052509.73916556,21.0,0
136,3313180,(2006 BC),0.8395372662,88661.24934515402,39118626.82218822,19.25,0
137,3506746,(2010 CA),0.0820427065,75022.11878001112,34440482.52895293,24.3,0
138,3837827,(2019 AO10),0.4305662442,104953.18230897828,45276265.751042426,20.7,0
139,3989673,(2020 CN1),0.1714115092,49133.9806382682,27040789.9218456,22.7,0
140,54130498,(2021 EY1),0.0274182656,46254.37955046885,44229627.17301282,26.68,0
141,54245562,(2022 CW1),0.0219806221,66801.41464792805,26852110.725305527,27.16,0
142,2267223,267223 (2001 DQ8),1.4257388333,104175.762771754,41695152.63629758,18.1,0
143,2368184,368184 (2000 RN77),0.7482383761,48137.36401061157,43040564.5653574,19.5,0
144,3092286,(2001 BB40),0.0714562102,38796.4598154052,5427640.685445764,24.6,0
145,3072405,(2001 BO60),0.8204270649,64966.8062796185,67509531.08009684,19.3,0
146,3154493,(2003 JV14),0.2978790628,73975.15580456375,42208981.765655205,21.5,0
147,3748182,(2016 FJ3),0.1888165155,46890.36411111181,24005009.461432476,22.49,0
148,54016640,(2020 HV2),0.8995803882,99359.095710269,43403368.92698699,19.1,0
149,54101721,(2020 YK3),0.0219806221,39493.74985105966,43249478.03569177,27.16,0
150,3177193,(2004 EL20),0.0271668934,45841.58107040801,41984780.31864367,26.7,0
151,3797674,(2018 AB12),0.0783501764,40888.1525404829,46791940.65433452,24.4,0
152,3825556,(2018 NS),0.2157943048,48790.932612714925,35797783.56214921,22.2,0
153,54153123,(2021 LH),0.0679266159,19272.53982509913,46830634.35044278,24.71,0
154,2509352,509352 (2007 AG),0.5675968529,57081.40991360349,45513522.40333372,20.1,1
155,3005969,(1994 WR12),0.1959025002,59809.18158297719,46238717.1196556,22.41,0
156,3545238,(2010 QN1),0.4943561926,71576.62254145331,57150455.114088096,20.4,0
157,54269715,(2022 GE3),0.1452245297,39046.98007853391,40056096.79393879,23.06,0
158,2152742,152742 (1998 XE12),0.8954471917,92439.11578193016,46667788.62592896,19.11,0
159,2313538,313538 (2002 YB12),1.2417666126,68430.5262417989,47679999.539070584,18.4,0
160,2385186,385186 (1994 AW1),1.7459828712,49708.59474145905,50912116.3648697,17.66,1
161,3092287,(2001 BM61),0.3756989478,46886.7300513581,26628341.33377231,20.996,0
162,3555411,(2011 BA),0.5781492662,75426.95766462092,47279413.61828129,20.06,0
163,3656923,(2014 BP8),0.0206081961,35259.6431120492,44488495.36964583,27.3,0
164,3553666,(2010 XX58),1.1858779086,86918.5132815325,59426614.789398246,18.5,0
165,3645193,(2013 OY3),0.0651688382,53940.648913116696,50900599.14462385,24.8,0
166,3660059,(2014 BP43),0.0297879063,34810.02176350039,39604429.603333324,26.5,0
167,3797858,(2018 BH3),0.0494356193,47262.179100573085,39926776.37239074,25.4,0
168,54088813,(2020 WM),0.0594346868,43709.10875247743,42041346.5221824,25.0,0
169,54235681,(2022 AM3),0.02884297,31644.077641159518,30978691.169983294,26.57,0
170,2217013,217013 (2001 AA50),1.0815335068,80945.81574153836,53787970.95914903,18.7,0
171,2325395,325395 (2009 CQ5),1.8708543531,46592.03707835725,44465527.2393717,17.51,1
172,2497135,497135 (2004 QD20),1.4191881584,89827.86137667848,58127823.84306535,18.11,0
173,2523804,523804 (2000 YF29),0.5346135707,50508.70688210538,38105011.36780602,20.23,1
174,3584577,(2011 UY255),0.1492931834,21722.35879873585,18623350.70819478,23.0,0
175,3754434,(2016 NM15),0.0187948982,25207.588841545727,50126486.57752495,27.5,0
176,3797491,(2018 AD4),0.1563291544,42639.355110719254,41831230.92443614,22.9,0
177,3837641,(2019 AU3),0.1361570015,30898.11168457493,38586226.016436405,23.2,0
178,3989194,(2020 BP8),0.0472106499,71116.1579287993,37285578.41567622,25.5,0
179,2530938,530938 (2011 XE),0.8166575449,61913.35945052661,45915792.13287667,19.31,0
180,3743122,(2016 CY137),0.0297879063,57533.445271517616,57589723.20014213,26.5,0
181,54054332,(2020 RA7),0.023661375,31751.779165691267,26197488.709948342,27.0,0
182,2348306,348306 (2005 AY28),0.2910985075,65101.24283493999,40232218.2459315,21.55,1
183,2427778,427778 (2005 BE),0.5623930936,73299.47676234282,52938346.16645118,20.12,0
184,2495323,495323 (2014 JG78),0.6824015094,77368.80486392388,55562378.62542013,19.7,0
185,3557791,(2011 BY59),0.1879489824,49967.62095250282,50878119.29559977,22.5,0
186,3656928,(2014 BH25),0.2844722965,64458.64807298425,22642892.98998589,21.6,0
187,3662252,(2014 DH6),0.0411187571,68010.09311373887,45513985.61892639,25.8,0
188,3670630,(2014 JU15),0.0651688382,51940.85163572272,38559099.7887176,24.8,0
189,3989652,(2020 CH1),0.0472106499,40215.44211099606,38645955.96796449,25.5,0
190,54106576,(2021 BN2),0.0567596853,30603.921464371706,34895682.83977323,25.1,0
191,2005131,5131 (1990 BG),6.3392806452,98613.59467738016,58726906.13610944,14.86,0
192,2228502,228502 (2001 TE2),0.5272783976,34984.94509899142,35537720.742916904,20.26,0
193,2418198,418198 (2008 CN70),0.9639177525,70990.83357646184,51010074.87336974,18.95,0
194,3064315,(1998 XN17),0.1636967205,36003.16706569725,35517066.971969925,22.8,0
195,3092285,(2001 BE16),0.6252302454,73260.85999990343,48693566.01336485,19.89,0
196,3076609,(2001 DS8),0.1794898848,22778.8986097376,10099545.289670808,22.6,0
197,3102758,(2002 AK14),0.2978790628,42759.52098162877,35498500.88521704,21.5,0
198,3256321,(2004 TD10),0.2259643771,51908.88785083126,40767127.79049967,22.1,0
199,3724221,(2015 ME131),0.7482383761,74141.17535388857,47782766.68514332,19.5,1
200,54054410,(2020 RX8),0.7142331095,74148.87030144845,47768765.90193774,19.601,1
201,54254975,(2022 EL5),0.0224926165,25467.793574451945,26693371.04416153,27.11,0
202,3076813,(2001 BF10),0.1794898848,39940.7803996739,14857266.931431564,22.6,0
203,3555888,(2011 BC40),0.5176544822,67775.61412065108,39924120.7277432,20.3,0
204,3825627,(2018 NT3),0.1361570015,38123.39184718071,47054032.978615,23.2,0
205,54244183,(2022 BX6),0.039814382,65477.69129129145,39915187.13973735,25.87,0
206,2153267,153267 (2001 CB32),1.599705282,80641.6940797622,43177869.8175618,17.85,0
207,2416151,416151 (2002 RQ25),0.4405954204,39402.82205156374,40473979.87664816,20.65,0
208,3092284,(2001 BX15),0.2844722965,52739.790863334965,14850104.773834253,21.6,0
209,3072969,(2001 BC16),0.0986370281,53188.480658135,29276154.832711894,23.9,0
210,3070801,(2001 CQ36),0.1879489824,25727.449262824877,19380951.56509562,22.5,0
211,3566360,(2011 KB),0.0567596853,48846.52188466406,42775465.35728232,25.1,0
212,3704262,(2015 BP4),0.1241766613,42177.41650509298,32034611.05393352,23.4,0
213,3758926,(2016 RT1),0.2477650126,67292.4385360019,46347863.696878016,21.9,1
214,3795027,(2017 YO3),0.0136157002,55080.35665845999,50227552.18304903,28.2,0
215,3799273,(2018 CB2),0.0594346868,63484.63154099645,45568319.21832643,25.0,0
216,54017077,(2020 KL),0.0651688382,28929.256131327773,33162352.09752211,24.8,0
217,2152941,152941 (2000 FM10),1.7702719124,87500.56746841857,30568676.685825206,17.63,0
218,3383904,(2007 RF2),0.4305662442,75739.26774389365,38279056.622699976,20.7,1
219,3557543,(2011 CD66),0.0247765013,57826.24387941111,32983157.763104957,26.9,0
220,3626614,(2013 CV83),0.0986370281,47133.11195608195,13890776.878528524,23.9,0
221,3689268,(2014 SM1),0.0450858206,40835.70210756019,38650842.60958766,25.6,0
222,3840753,(2019 FY2),0.0196806745,28515.500225423435,29970016.828849256,27.4,0
223,54100190,(2020 XA5),0.0831840342,55717.91423017447,45089106.349183254,24.27,0
224,54244187,(2022 CD),0.0356483948,74698.39922434739,28282921.814353097,26.11,0
225,3256739,(2004 TK14),0.5675968529,15950.62569785025,59370770.46177931,20.1,0
226,3457435,(2009 HS2),0.2410127282,80080.57561296264,36803351.999500886,21.96,0
227,3457846,(2009 HG21),0.0594346868,51111.227294891716,44318811.670972005,25.0,0
228,3576469,(2011 QS2),0.4305662442,65234.66840908435,36514910.87530816,20.7,0
229,3599929,(2012 DT32),0.3266178974,46573.18806342725,22945727.873951137,21.3,0
230,3727341,(2015 RQ82),0.2157943048,57680.7843776512,41959574.23506219,22.2,0
231,3769886,(2017 DA36),0.0567596853,21236.47788314593,30259348.174205333,25.1,0
232,3790060,(2017 WP28),0.411187571,95091.1007904954,37734954.870446905,20.8,0
233,3799713,(2018 DU),0.0130028927,26491.13972696884,43478331.712794065,28.3,0
234,3837955,(2019 BA1),0.2167903661,56920.4554004345,49896012.569205604,22.19,0
235,54048828,(2020 NK1),0.9594889528,111378.92824165175,41840026.41084451,18.96,1
236,2585734,585734 (2019 BA1),0.2157943048,56920.45547313974,49896012.55068396,22.2,0
237,54215193,(2021 VB),0.0405545866,30180.18538113204,54617211.27291618,25.83,0
238,2141432,141432 (2002 CQ11),0.5943468684,53851.604356965385,47497151.95672567,20.0,1
239,3402249,(2008 CK70),0.0622357573,71365.90578541427,41606536.64920935,24.9,0
240,3702706,(2014 YS),0.0748238376,53772.350995811794,42356724.491169065,24.5,0
241,3740101,(2016 AB166),0.0783501764,91768.41651257701,42192582.60554524,24.4,0
242,3752430,(2016 HD3),0.0149293183,38216.59143264175,36883343.449142314,28.0,0
243,3568329,(2011 MW1),0.2060819612,31614.52780214053,26332148.48428331,22.3,0
244,3596682,(2012 BL77),0.130028927,65850.39782309775,55647661.488220185,23.3,0
245,3662632,(2014 DD23),0.2716689341,28745.9910650866,54056070.84623933,21.7,0
246,3683393,(2014 QN266),0.0326617897,25368.865669696013,31064554.83788745,26.3,0
247,3704769,(2015 BG92),0.0567596853,34804.041448282915,39281241.30957007,25.1,0
248,3709250,(2015 BY512),0.3119176705,76066.7998826551,54845551.899088755,21.4,0
249,3722211,(2015 MN66),0.5675968529,61950.20454874608,54725475.55143233,20.1,0
250,3767164,(2017 BO30),0.0986370281,57360.060906737446,48861410.460233636,23.9,0
251,3769817,(2017 DU34),0.0259441818,62928.823709840166,36933176.896197185,26.8,0
252,3989280,(2020 BQ12),0.0748238376,32187.279529394425,31669460.540514622,24.5,0
253,54187638,(2021 QR),0.2679414966,55779.989817386806,40525074.89405525,21.73,0
254,3070723,(2001 BY15),0.8995803882,62067.25249168985,63593416.59184317,19.1,0
255,3297629,(2005 VL1),0.0304817558,31997.96793622243,27363115.104713984,26.45,0
256,3599866,(2012 DK31),0.2477650126,64125.39082876037,29141058.107575458,21.9,1
257,3742342,(2016 CL136),0.3119176705,73146.2363410522,33067409.34968716,21.4,1
258,3759664,(2016 SA),0.4305662442,80482.34448847994,54131589.737444475,20.7,0
259,3765021,(2016 XJ),0.0196806745,31736.555975261686,46761246.47041756,27.4,0
260,3838858,(2019 DL1),0.0284472297,33618.99382286982,34839703.04006317,26.6,0
261,54054466,(2020 SG1),0.6310154296,70906.47996798692,50235947.713711016,19.87,0
262,2163693,163693 Atira (2003 CP20),3.1771665298,64131.76822417852,54612838.58265195,16.36,0
263,3076610,(2001 DT8),0.7482383761,94426.2546985804,41157906.19230857,19.5,0
264,3646648,(2013 QN10),0.2157943048,59575.65641408613,48293091.83949934,22.2,0
265,3798985,(2018 BT6),0.3266178974,111196.4825539295,20353624.740231197,21.3,1
266,3840690,(2019 FR),0.0941976306,54905.893128460026,53750823.42709483,24.0,0
267,54203701,(2021 TQ3),0.0225964377,48343.63333896413,49876858.49425792,27.1,0
268,2162723,162723 (2000 VM2),1.7459828712,83390.53391989898,48398525.76809154,17.66,0
269,3532401,(2010 MS1),0.2594418179,39369.691985331985,37031881.5066321,21.8,0
270,3709716,(2015 CM),0.0358129403,30717.014780389203,31927069.058670808,26.1,0
271,54239534,(2021 WC8),0.648694146,76147.27046315363,28289727.67595007,19.81,1
272,3508124,(2010 CP19),0.0392681082,36615.16995895075,39415599.50118855,25.9,0
273,3744322,(2016 CX247),0.1794898848,56771.27141011477,54368864.75960622,22.6,0
274,3767609,(2017 BM92),0.1032856481,37995.869290250506,47526705.536544755,23.8,0
275,3768613,(2017 BN123),0.1794898848,65395.29756752505,55076791.41653183,22.6,0
276,3838020,(2019 BT2),0.4721064988,74555.60590240403,56266484.72380535,20.5,1
277,54017580,(2020 MS1),0.130028927,56100.82793665843,41331407.494675115,23.3,0
278,54239779,(2022 BQ),0.0380224396,37051.04099805627,33060612.18163795,25.97,0
279,2022099,22099 (2000 EX106),1.5067457626,35795.765516680774,46275827.552586496,17.98,0
280,2162483,162483 (2000 PJ5),2.0419259045,103584.53226140625,51220920.00937072,17.32,0
281,2380188,380188 (2000 WC67),1.1325046106,19324.2600891716,42337251.59074754,18.6,0
282,3512347,(2010 FC6),0.5346135707,72568.05440842407,70300720.8723746,20.23,0
283,3780641,(2017 OR68),0.2477650126,47498.503687607044,50495999.4606232,21.9,0
284,3872638,(2019 SK8),0.0358129403,43321.08088227862,36629247.640233785,26.1,0
285,2455176,455176 (1999 VF22),0.4246586539,113746.4314226454,30691920.150142387,20.73,1
286,2471487,471487 (2011 VS5),0.7145621017,57143.66815372148,46321278.453436114,19.6,0
287,3170245,(2003 YS70),0.0089958039,36158.74530016614,51513601.32050627,29.1,0
288,3630815,(2013 ES11),0.1081533507,32464.254475118505,40436013.05378626,23.7,0
289,3796292,(2017 YS8),0.6824015094,81704.82619031324,47938359.77621789,19.7,1
290,54247854,(2016 FL60),0.0977327184,61077.276269033224,58197307.057010435,23.92,0
291,2474238,474238 (2001 RU17),0.2978790628,40604.33254121975,36385357.20586652,21.5,0
292,2483432,483432 (2001 DF47),0.5370812349,71621.96168787192,37249524.85926891,20.22,1
293,3370168,(2007 EG),0.0714562102,53351.951513635,45454709.99612948,24.6,0
294,3557825,(2011 DO),0.1636967205,54669.375562430854,19887346.6485449,22.8,0
295,3644684,(2013 NJ),0.2366137501,27443.960208809316,43677861.20419912,22.0,0
296,3645001,(2013 NT11),0.7145621017,113451.43557003271,66728062.26235123,19.6,0
297,3698842,(2014 WQ202),0.1032856481,60520.959610602236,43190904.34878991,23.8,0
298,3989092,(2020 BK5),0.1563291544,62687.95609792052,46159239.934452005,22.9,0
299,2399308,399308 (1993 GD),0.4467247133,39012.68886447455,44252688.631718114,20.62,0
300,3076622,(2001 DG47),0.1492931834,40128.634364704325,47845933.77771858,23.0,0
301,3578917,(2011 SB25),0.3963145151,58365.87704095006,58725892.53200132,20.88,0
302,3673976,(2014 MZ17),0.0899580388,34022.391684713875,32060080.845648278,24.1,0
303,3787090,(2017 UK1),0.0225964377,30604.734617353697,32718407.717063945,27.1,0
304,3797750,(2018 BP1),0.0714562102,60226.020252408176,41420916.941872194,24.6,0
305,3989074,(2020 BJ4),0.2489086439,66097.56538844426,42185614.641940296,21.89,1
306,54054624,(2020 SN4),0.0284472297,35726.116518801784,33354030.85016132,26.6,0
307,2481025,481025 (2004 VA1),0.4721064988,63470.24154611768,57465568.46015051,20.5,0
308,2481918,481918 (2009 BE77),1.3428885744,92487.05091835464,60890958.63120743,18.23,0
309,3092069,(2001 QJ142),0.1081533507,18826.7202112359,23253722.46773956,23.7,0
310,3297635,(2005 VA2),0.3515928047,72245.01428704981,55298761.24618802,21.14,0
311,3557826,(2011 DP),0.1968067451,61260.08948547503,37302936.92789432,22.4,0
312,3710019,(2015 CO3),0.3090579921,56350.48709696794,48886612.83797312,21.42,0
313,3758255,(2016 QH44),0.1968067451,61882.41042904119,38240271.29549209,22.4,0
314,3838078,(2019 BE5),0.0567596853,78231.12876612162,33134515.80289002,25.1,0
315,54017652,(2020 MK3),0.0411187571,47401.68876805793,43203452.81431244,25.8,0
316,3092289,(2001 CA21),1.0448163949,112633.4933789436,25707918.77682573,18.775,1
317,3368185,(2007 CB27),0.130028927,41528.7232860672,41105687.06239346,23.3,0
318,3532366,(2010 MJ1),0.1132504611,41029.233747158614,33624552.568026945,23.6,0
